GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsServiceImpl,42,0,0,0,14,0,3,0,3,0
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl,0,35,0,6,0,11,0,9,0,6
yoga-app,com.openclassrooms.starterjwt.security.handler,ApiAuthenticationEntryPoint,47,0,0,0,15,0,2,0,2,0
yoga-app,com.openclassrooms.starterjwt.services,SessionService,0,265,0,6,0,41,0,21,0,18
yoga-app,com.openclassrooms.starterjwt.services,UserService,0,64,0,2,0,14,0,5,0,4
yoga-app,com.openclassrooms.starterjwt.services,AuthService,0,100,0,2,0,25,0,4,0,3
yoga-app,com.openclassrooms.starterjwt.services,TeacherService,0,39,0,0,0,8,0,4,0,4
yoga-app,com.openclassrooms.starterjwt.security,WebSecurityConfig,100,0,0,0,24,0,9,0,9,0
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthTokenFilter,23,66,0,8,5,20,0,8,0,4
yoga-app,com.openclassrooms.starterjwt.security.jwt,JwtUtils,41,63,0,0,8,20,2,3,2,3
yoga-app,com.openclassrooms.starterjwt.models,User,0,18,0,0,0,7,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.exception,GlobalExceptionHandler,83,78,1,1,23,18,6,6,5,6
yoga-app,com.openclassrooms.starterjwt.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.exception,ForbiddenException,0,4,0,0,0,2,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.controllers,UserController,29,0,0,0,8,0,3,0,3,0
yoga-app,com.openclassrooms.starterjwt.controllers,TeacherController,33,0,0,0,8,0,3,0,3,0
yoga-app,com.openclassrooms.starterjwt.controllers,SessionController,86,0,0,0,18,0,8,0,8,0
yoga-app,com.openclassrooms.starterjwt.controllers,AuthController,23,0,0,0,7,0,3,0,3,0
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapper,3,0,0,0,1,0,1,0,1,0
yoga-app,com.openclassrooms.starterjwt.configuration,AppConfig,15,0,0,0,4,0,2,0,2,0
yoga-app,com.openclassrooms.starterjwt,SpringBootSecurityJwtApplication,3,5,0,0,1,2,1,1,1,1
